Samples,Groups
TCGA-AC-A2BM-01A-11R-A21T-07,group1
TCGA-A8-A075-01A-11R-A084-07,group1
TCGA-A2-A0EM-01A-11R-A034-07,group1
TCGA-A7-A3J1-01A-11R-A213-07,group1
TCGA-BH-A0BO-01A-23R-A12D-07,group1
TCGA-A8-A08L-01A-11R-A00Z-07,group1
TCGA-AN-A0FW-01A-11R-A034-07,group1
TCGA-E2-A1L9-01A-11R-A13Q-07,group1
TCGA-E2-A15K-01A-11R-A12P-07,group1
TCGA-C8-A8HP-01A-11R-A36F-07,group1
TCGA-AC-A3OD-01A-11R-A21T-07,group1
TCGA-AN-A0AT-01A-11R-A034-07,group1
TCGA-A7-A0DC-01A-11R-A00Z-07,group2
TCGA-AR-A1AU-01A-11R-A12P-07,group2
TCGA-E9-A228-01A-31R-A157-07,group2
TCGA-A2-A0D2-01A-21R-A034-07,group2
TCGA-E2-A1AZ-01A-11R-A12P-07,group2
TCGA-D8-A1XF-01A-11R-A14D-07,group2
TCGA-AR-A1AH-01A-11R-A12D-07,group2
TCGA-AN-A03Y-01A-21R-A00Z-07,group2
TCGA-BH-A0HQ-01A-11R-A034-07,group2
TCGA-A8-A090-01A-11R-A00Z-07,group2
TCGA-AC-A3BB-01A-21R-A19W-07,group2
TCGA-A8-A08B-01A-11R-A00Z-07,group2
TCGA-EW-A1PC-01B-11R-A21T-07,group2
TCGA-A8-A081-01A-11R-A00Z-07,group2
TCGA-C8-A12O-01A-11R-A115-07,group2